Technique,precision,recall,fpr,f-measure,accuracy
Isolation Forest (0.01),0.9617598684210527,0.244895822426971,0.0003933544250258007,0.3903863807060002,0.970302342882929
Isolation Forest (0.02),0.9717986212659285,0.4870694168149932,0.0005709983589084203,0.6489050076719207,0.9795348383398583
Isolation Forest (0.05),0.6656514939501194,0.8467176211914983,0.017180706176933357,0.7453456221198157,0.9775346675935751
Isolation Forest (0.10),0.3802701260314463,0.969846089414721,0.06385030537838159,0.5463285166617516,0.9374580756893881
Isolation Forest (0.15),0.2657188960605386,1.0,0.11163229397533288,0.4198703154192769,0.8927022225474532
Isolation Forest (auto),0.2442960916717823,1.0,0.12496404825147614,0.3926655292207125,0.8798881205306144
